,income_1_to_40_percent,income_1_to_40_percent,income_1_to_40_percent,income_41_to_80_percent,income_41_to_80_percent,income_41_to_80_percent,income_81_to_100_percent,income_81_to_100_percent,income_81_to_100_percent,income_average,income_average,income_average
Year,2017.0,2018.0,2019.0,2017.0,2018.0,2019.0,2017.0,2018.0,2019.0,2017.0,2018.0,2019.0
Postcode,,,,,,,,,,,,
1087.0,32.6,32,32.9,30.1,30.6,30.8,37.3,37.4,36.3,59.1,59.6,58.9
1091.0,50.9,49.7,48.6,27.4,27.2,27.4,21.7,23.1,24,44.8,45.9,46.8
1092.0,54.5,52.2,50.8,25.8,27.1,28,19.6,20.7,21.2,42.5,43.6,44.6
1093.0,55.5,54.1,52.7,25.6,26.2,27.4,19,19.7,20,41.9,42.7,43.5
1094.0,54.6,53,52.6,28.2,29,28.6,17.2,18.1,18.8,41.6,42.6,42.8
1095.0,61.6,58.9,57.5,25.8,26.5,27,12.6,14.6,15.5,36.3,38,39.2
1096.0,68.3,60.8,52.7,16.1,19.4,24.1,15.6,19.8,23.2,30.9,37,42.5
1097.0,57.9,57.1,55.4,25.1,25.3,26.1,16.9,17.6,18.6,40.3,41.1,42.1
1098.0,39.8,39.9,42.7,28.6,28.2,26.9,31.7,31.9,30.4,52.4,52.5,50.6
1101.0,.,33.3,.,.,38.9,.,.,27.8,.,.,55.1,.
1102.0,69.7,68.8,67.9,24.4,25.1,25.6,5.9,6.1,6.5,30.2,31.1,31.6
1103.0,56.6,56.2,55.9,31.5,31.5,32,11.9,12.4,12.1,39.2,39.4,39.4
1104.0,64.9,64.7,62.6,29,28.6,29.9,6.1,6.7,7.5,33.7,34.1,35.4
1105.0,93.3,92.6,88.7,5.3,5.6,9.4,1.4,1.8,1.9,11.8,13.5,16
1106.0,56.3,55.9,56.6,32.3,33.1,32.7,11.4,11,10.6,40,40.1,39.7
1107.0,53,52.8,52.9,37.7,37.2,37.4,9.3,10,9.7,41.1,41.4,41.2
1108.0,37.4,37.1,39.2,46,46.5,44.4,16.6,16.4,16.4,50.4,50.8,49.7
1109.0,34.6,33.4,34.3,39.5,41,40.7,25.9,25.6,25,55.9,56.8,55.7
