,assets_1_to_40_percent,assets_1_to_40_percent,assets_1_to_40_percent,assets_41_to_80_percent,assets_41_to_80_percent,assets_41_to_80_percent,assets_81_to_100_percent,assets_81_to_100_percent,assets_81_to_100_percent,assets_average,assets_average,assets_average
Year,2017.0,2018.0,2019.0,2017.0,2018.0,2019.0,2017.0,2018.0,2019.0,2017.0,2018.0,2019.0
Postcode,,,,,,,,,,,,
1087.0,42,41.2,44.7,37.7,32.6,27.8,20.3,26.3,27.5,49.3,52.1,50.7
1091.0,56.6,57.4,59.2,30.4,27.3,24.7,13,15.3,16.1,41.2,41.4,40.4
1092.0,58.6,59.8,61.7,29.7,25.8,23.1,11.7,14.4,15.2,39.7,39.9,39
1093.0,58,59.6,61.5,30.6,26.7,22.7,11.5,13.7,15.9,40.4,40.1,39.4
1094.0,60.8,61.2,63.2,33.3,30.6,27.7,5.9,8.2,9.1,37.4,37.8,36.7
1095.0,65.7,67.5,68.3,27.7,23.7,22,6.6,8.8,9.7,35.6,34.9,34.2
1096.0,70,70.4,69.7,19.2,16.7,16.5,10.8,12.9,13.8,32.7,32.2,32
1097.0,60.6,61.8,65.2,29.2,26.6,22.9,10.2,11.7,11.9,38.5,38.4,37
1098.0,42.6,44.4,49.2,32.3,27.4,22.4,25.1,28.2,28.3,50.8,51,48.8
1101.0,.,86.1,.,.,12,.,.,1.9,.,.,28.1,.
1102.0,81.8,79,78.1,16.5,19,19.5,1.8,2,2.4,26.1,26.5,26.7
1103.0,69.6,67.9,66.4,23.9,25,25.3,6.6,7.1,8.3,33.4,34,34.8
1104.0,76.4,75,73.2,21.6,22.6,23.7,1.9,2.5,3.1,29,29.3,30
1105.0,88.4,91.9,93.3,10,6.5,4.6,1.6,1.6,2.1,23.1,19.6,17.2
1106.0,65.8,64.6,64.2,26.6,27.4,27.1,7.5,8,8.8,35.4,35.9,35.9
1107.0,66,64.3,64.3,30.5,31.9,31.5,3.4,3.7,4.2,33.5,33.8,34.1
1108.0,56.9,47.2,46.1,37.3,46.1,47.5,5.8,6.7,6.4,37.1,41.7,42.8
1109.0,34.1,35.4,34.6,44.2,40.5,40.7,21.7,24.1,24.7,53.5,53.7,54.9
