,power,power
,total_capacity,number_of_charger
zipcode,,
1017 XJ,22.0,1
1017 XK,22.0,2
1017 XL,22.0,1
1017 XM,33.0,3
1017 XN,11.0,1
1017 XS,22.0,1
1017 XW,22.0,1
1017 XZ,11.0,1
1017 ZJ,11.0,1
1017 ZL,22.0,2
1017 ZN,11.0,1
1017 ZS,11.0,1
1018 AC,11.0,1
1018 AD,11.0,1
1018 AL,33.0,3
1018 AP,22.0,2
1018 AR,22.0,1
1018 BH,11.0,1
1018 BK,22.0,1
1018 BR,22.0,1
1018 CC,22.0,1
1018 CG,11.0,1
1018 CM,33.0,2
1018 CN,11.0,1
1018 CZ,11.0,1
1018 DD,11.0,1
1018 DJ,11.0,1
1018 DR,11.0,1
1018 DT,22.0,1
1018 EE,11.0,1
1018 EG,11.0,1
1018 ET,11.0,1
1018 GB,22.0,2
1018 GJ,11.0,1
1018 GV,11.0,1
1018 GX,22.0,2
1018 HJ,11.0,1
1018 HL,22.0,1
1018 JE,11.0,1
1018 JG,22.0,1
1018 JR,11.0,1
1018 KN,11.0,1
1018 KP,22.0,1
1018 LJ,11.0,1
1018 LT,44.0,3
1018 LZ,11.0,1
1018 MR,11.0,1
1018 MS,11.0,1
1018 MT,22.0,1
1018 MZ,44.0,3
1018 NC,11.0,1
1018 NK,11.0,1
1018 NW,11.0,1
1018 PE,11.0,1
1018 RB,11.0,1
1018 RK,22.0,2
1018 RW,11.0,1
1018 SK,11.0,1
1018 SL,22.0,1
1018 SR,11.0,1
1018 SV,22.0,1
1018 TJ,22.0,1
1018 TS,22.0,1
1018 TV,44.0,4
1018 TZ,22.0,1
1018 VA,11.0,1
1018 VE,11.0,1
1018 VH,22.0,1
1018 VJ,22.0,1
1018 VM,11.0,1
1018 VS,11.0,1
1018 WC,22.0,2
1018 WG,22.0,2
1018 XK,22.0,2
1018 XW,11.0,1
1018 ZD,22.0,2
1018 ZL,11.0,1
1018 ZN,22.0,1
1018 ZS,11.0,1
1018 ZZ,11.0,1
1019 AA,11.0,1
1019 AD,11.0,1
1019 AH,22.0,2
1019 AX,11.0,1
1019 BX,11.0,1
1019 CV,11.0,1
1019 DA,11.0,1
1019 DD,11.0,1
1019 DG,11.0,1
1019 DP,33.0,2
1019 ED,44.0,3
1019 EH,11.0,1
1019 GD,11.0,1
1019 HA,11.0,1
1019 JZ,22.0,1
1019 KN,11.0,1
1019 KR,11.0,1
1019 LB,22.0,1
1019 LL,33.0,3
1019 LS,33.0,2
1019 MD,22.0,1
1019 ME,11.0,1
1019 PK,11.0,1
1019 PM,11.0,1
1019 PV,11.0,1
1019 RC,11.0,1
1019 RD,11.0,1
1019 RR,44.0,2
1019 RV,11.0,1
1019 SC,11.0,1
1019 SE,11.0,1
1019 SG,22.0,1
1019 TB,11.0,1
1019 TD,33.0,2
1019 TH,11.0,1
1019 TK,22.0,2
1019 TR,22.0,1
1019 VC,11.0,1
1019 VK,22.0,1
1019 WG,22.0,2
1019 WV,22.0,1
1019 WX,11.0,1
1019 XD,22.0,1
1019 XE,11.0,1
1019 XG,22.0,2
1019 XH,11.0,1
1021 BS,22.0,1
1021 CE,11.0,1
1021 EB,11.0,1
1021 EG,11.0,1
1021 EK,11.0,1
1021 EN,11.0,1
1021 HC,22.0,1
1021 JM,11.0,1
1021 JR,11.0,1
1021 JV,22.0,2
1021 KN,11.0,1
1021 LD,11.0,1
1021 LL,11.0,1
1021 NW,11.0,1
1021 PS,22.0,2
1021 TR,22.0,1
1021 TT,11.0,1
1022 AB,11.0,1
1022 AC,11.0,1
1022 AM,22.0,2
1022 BA,11.0,1
1022 BK,11.0,1
1022 KB,11.0,1
1022 KD,11.0,1
1022 KE,11.0,1
1022 KJ,22.0,1
1022 KK,11.0,1
1022 LA,55.0,5
1022 WV,22.0,2
1023 AK,11.0,1
1023 AS,11.0,1
1023 BA,11.0,1
1023 BB,11.0,1
1023 BC,11.0,1
1023 BE,22.0,1
1023 BM,11.0,1
1023 BS,11.0,1
1023 BX,11.0,1
1023 EA,55.0,3
1023 NA,11.0,1
1023 NE,11.0,1
1023 NT,11.0,1
