,Postcode,buurt
0,1012AC,Kop Zeedijk
8,1012AD,Kop Zeedijk
11,1012AE,Kop Zeedijk
32,1012AG,Kop Zeedijk
41,1012AH,Kop Zeedijk
53,1012AJ,Kop Zeedijk
60,1012AK,Kop Zeedijk
75,1012AL,Kop Zeedijk
98,1012AM,Kop Zeedijk
101,1012AN,Kop Zeedijk
106,1012AP,Kop Zeedijk
111,1012AR,Kop Zeedijk
122,1012AS,Kop Zeedijk
137,1012AX,Kop Zeedijk
143,1012AZ,Kop Zeedijk
157,1012BA,Kop Zeedijk
175,1012BB,Kop Zeedijk
177,1012BD,Kop Zeedijk
179,1012BH,Kop Zeedijk
188,1012BJ,Kop Zeedijk
212,1012BK,Kop Zeedijk
221,1012BL,Kop Zeedijk
226,1012DM,Kop Zeedijk
236,1012DZ,Kop Zeedijk
254,1012EA,Kop Zeedijk
256,1012EH,Kop Zeedijk
270,1012GD,Kop Zeedijk
286,1012GE,Kop Zeedijk
292,1012GN,Kop Zeedijk
294,1012GP,Kop Zeedijk
319,1012GR,Kop Zeedijk
345,1012GS,Kop Zeedijk
360,1012HT,Kop Zeedijk
372,1012HV,Kop Zeedijk
382,1012HW,Kop Zeedijk
389,1012JD,Kop Zeedijk
399,1012JE,Kop Zeedijk
409,1012JG,Kop Zeedijk
415,1012JP,Kop Zeedijk
424,1012RA,Kop Zeedijk
436,1012HD,Oude Kerk e.o.
438,1012HE,Oude Kerk e.o.
439,1012GE,Oude Kerk e.o.
452,1012GG,Oude Kerk e.o.
458,1012GH,Oude Kerk e.o.
502,1012GJ,Oude Kerk e.o.
514,1012GK,Oude Kerk e.o.
515,1012GT,Oude Kerk e.o.
528,1012GV,Oude Kerk e.o.
532,1012GW,Oude Kerk e.o.
544,1012GX,Oude Kerk e.o.
553,1012GZ,Oude Kerk e.o.
571,1012HA,Oude Kerk e.o.
578,1012HB,Oude Kerk e.o.
580,1012HC,Oude Kerk e.o.
620,1012HG,Oude Kerk e.o.
670,1012HH,Oude Kerk e.o.
691,1012HW,Oude Kerk e.o.
694,1012HX,Oude Kerk e.o.
702,1012HZ,Oude Kerk e.o.
712,1012JA,Oude Kerk e.o.
725,1012JB,Oude Kerk e.o.
733,1012JC,Oude Kerk e.o.
744,1012JH,Oude Kerk e.o.
756,1012JJ,Oude Kerk e.o.
761,1012JK,Oude Kerk e.o.
765,1012JL,Oude Kerk e.o.
781,1012JN,Oude Kerk e.o.
788,1012JS,Oude Kerk e.o.
796,1012JT,Oude Kerk e.o.
803,1012JV,Oude Kerk e.o.
813,1012JW,Oude Kerk e.o.
818,1012ZH,Oude Kerk e.o.
820,1012ZJ,Oude Kerk e.o.
904,1012AT,Burgwallen Oost
911,1012AV,Burgwallen Oost
920,1012AW,Burgwallen Oost
931,1012BB,Burgwallen Oost
947,1012BC,Burgwallen Oost
955,1012BD,Burgwallen Oost
959,1012BE,Burgwallen Oost
968,1012BG,Burgwallen Oost
989,1012BL,Burgwallen Oost
990,1012BM,Burgwallen Oost
999,1012BN,Burgwallen Oost
1010,1012BP,Burgwallen Oost
1032,1012BR,Burgwallen Oost
1034,1012BS,Burgwallen Oost
1057,1012BT,Burgwallen Oost
1073,1012BV,Burgwallen Oost
1096,1012BW,Burgwallen Oost
1106,1012BX,Burgwallen Oost
1123,1012BZ,Burgwallen Oost
1142,1012CA,Burgwallen Oost
1154,1012CB,Burgwallen Oost
1171,1012CC,Burgwallen Oost
1174,1012CD,Burgwallen Oost
1192,1012CR,Burgwallen Oost
1204,1012CS,Burgwallen Oost
1212,1012CT,Burgwallen Oost
1220,1012CV,Burgwallen Oost
1226,1012CW,Burgwallen Oost
1235,1012DA,Burgwallen Oost
1254,1012DB,Burgwallen Oost
1268,1012DC,Burgwallen Oost
1278,1012DD,Burgwallen Oost
1285,1012DE,Burgwallen Oost
1292,1012DG,Burgwallen Oost
1301,1012DN,Burgwallen Oost
1308,1012DP,Burgwallen Oost
1322,1012DR,Burgwallen Oost
1336,1012DS,Burgwallen Oost
1348,1012DT,Burgwallen Oost
1356,1012DV,Burgwallen Oost
1367,1012EA,Burgwallen Oost
1370,1012EB,Burgwallen Oost
1377,1012EC,Burgwallen Oost
1389,1012ED,Burgwallen Oost
1395,1012EJ,Burgwallen Oost
1408,1012EK,Burgwallen Oost
1415,1012EL,Burgwallen Oost
1427,1012EM,Burgwallen Oost
1432,1012EN,Burgwallen Oost
1437,1012EP,Burgwallen Oost
1442,1012ER,Burgwallen Oost
1445,1012ES,Burgwallen Oost
1457,1012ET,Burgwallen Oost
1462,1012EV,Burgwallen Oost
1467,1012ZX,Nes e.o.
1468,1012GA,Nes e.o.
1480,1012GB,Nes e.o.
1491,1012GC,Nes e.o.
1492,1012GK,Nes e.o.
1504,1012GL,Nes e.o.
1531,1012GM,Nes e.o.
1540,1012HJ,Nes e.o.
1545,1012HK,Nes e.o.
1554,1012HL,Nes e.o.
1582,1012HM,Nes e.o.
1596,1012HN,Nes e.o.
1598,1012HP,Nes e.o.
1603,1012HR,Nes e.o.
1608,1012HS,Nes e.o.
1615,1012JM,Nes e.o.
1637,1012JS,Nes e.o.
1643,1012KC,Nes e.o.
1652,1012KD,Nes e.o.
1669,1012KE,Nes e.o.
1687,1012KG,Nes e.o.
1690,1012KH,Nes e.o.
1691,1012KJ,Nes e.o.
1692,1012KK,Nes e.o.
1700,1012KL,Nes e.o.
1710,1012KM,Nes e.o.
1716,1012KN,Nes e.o.
1718,1012KP,Nes e.o.
1723,1012CE,BG-terrein e.o.
1733,1012CG,BG-terrein e.o.
1734,1012CH,BG-terrein e.o.
1739,1012CJ,BG-terrein e.o.
1754,1012CK,BG-terrein e.o.
1765,1012CL,BG-terrein e.o.
1775,1012CM,BG-terrein e.o.
1780,1012CN,BG-terrein e.o.
1784,1012CP,BG-terrein e.o.
1802,1012CX,BG-terrein e.o.
1810,1012CZ,BG-terrein e.o.
1855,1012DH,BG-terrein e.o.
1860,1012DJ,BG-terrein e.o.
1865,1012DK,BG-terrein e.o.
1873,1012DL,BG-terrein e.o.
1881,1012DW,BG-terrein e.o.
1887,1012DX,BG-terrein e.o.
1897,1012ED,BG-terrein e.o.
1907,1012EE,BG-terrein e.o.
1914,1012EG,BG-terrein e.o.
1925,1012EW,BG-terrein e.o.
1932,1012EX,BG-terrein e.o.
1940,1012EZ,BG-terrein e.o.
1951,1012GC,BG-terrein e.o.
1963,1012JZ,BG-terrein e.o.
1970,1012XT,BG-terrein e.o.
1974,1012XX,BG-terrein e.o.
1977,1012ZA,BG-terrein e.o.
1979,1012ZD,BG-terrein e.o.
1997,1012ZE,BG-terrein e.o.
2032,1012ZG,BG-terrein e.o.
2051,1012AB,Stationsplein e.o.
2052,1012AA,Stationsplein e.o.
2107,1012LZ,Hemelrijk
2122,1012MA,Hemelrijk
2130,1012MK,Hemelrijk
2138,1012ML,Hemelrijk
2149,1012MN,Hemelrijk
2154,1012MZ,Hemelrijk
2166,1012NA,Hemelrijk
2168,1012RZ,Hemelrijk
2182,1012SB,Hemelrijk
2188,1012SK,Hemelrijk
2190,1012SN,Hemelrijk
2201,1012SP,Hemelrijk
2211,1012SV,Hemelrijk
2212,1012SW,Hemelrijk
2237,1012SX,Hemelrijk
2239,1012SZ,Hemelrijk
2245,1012TA,Hemelrijk
2258,1012TB,Hemelrijk
2265,1012TC,Hemelrijk
2267,1012TK,Hemelrijk
2277,1012TL,Hemelrijk
2287,1012TM,Hemelrijk
2298,1012TP,Hemelrijk
2300,1012TR,Hemelrijk
2307,1012TS,Hemelrijk
2314,1012VC,Hemelrijk
2335,1012AB,Nieuwendijk Noord
2336,1012JP,Nieuwendijk Noord
2342,1012LG,Nieuwendijk Noord
2351,1012LH,Nieuwendijk Noord
2360,1012LJ,Nieuwendijk Noord
2367,1012LK,Nieuwendijk Noord
2374,1012LR,Nieuwendijk Noord
2389,1012LS,Nieuwendijk Noord
2394,1012MB,Nieuwendijk Noord
2418,1012MC,Nieuwendijk Noord
2435,1012MD,Nieuwendijk Noord
2446,1012MJ,Nieuwendijk Noord
2448,1012MP,Nieuwendijk Noord
2456,1012MR,Nieuwendijk Noord
2471,1012MS,Nieuwendijk Noord
2476,1012NB,Nieuwendijk Noord
2534,1012NC,Nieuwendijk Noord
2558,1012ND,Nieuwendijk Noord
2564,1012PS,Nieuwendijk Noord
2575,1012PT,Nieuwendijk Noord
2581,1012PV,Nieuwendijk Noord
2591,1012RC,Nieuwendijk Noord
2595,1012RD,Nieuwendijk Noord
2601,1012TM,Nieuwendijk Noord
2609,1012TN,Nieuwendijk Noord
2615,1012ZH,Nieuwendijk Noord
2616,1012SC,Spuistraat Noord
2622,1012SE,Spuistraat Noord
2632,1012SG,Spuistraat Noord
2639,1012SH,Spuistraat Noord
2653,1012SJ,Spuistraat Noord
2668,1012SK,Spuistraat Noord
2671,1012SL,Spuistraat Noord
2676,1012SM,Spuistraat Noord
2687,1012SR,Spuistraat Noord
2700,1012ST,Spuistraat Noord
2715,1012SV,Spuistraat Noord
2729,1012TC,Spuistraat Noord
2735,1012TD,Spuistraat Noord
2754,1012TE,Spuistraat Noord
2762,1012TG,Spuistraat Noord
2764,1012TH,Spuistraat Noord
2772,1012TJ,Spuistraat Noord
2774,1012TS,Spuistraat Noord
2779,1012TT,Spuistraat Noord
2784,1012TV,Spuistraat Noord
2793,1012TW,Spuistraat Noord
2803,1012TX,Spuistraat Noord
2808,1012TZ,Spuistraat Noord
2814,1012VA,Spuistraat Noord
2825,1012VB,Spuistraat Noord
2830,1012VD,Spuistraat Noord
2841,1012VE,Spuistraat Noord
2851,1012VG,Spuistraat Noord
2863,1012VH,Spuistraat Noord
2874,1012VJ,Spuistraat Noord
2882,1012VK,Spuistraat Noord
2890,1012LV,Nieuwe Kerk e.o.
2891,1012JN,Nieuwe Kerk e.o.
2896,1012LK,Nieuwe Kerk e.o.
2902,1012LL,Nieuwe Kerk e.o.
2916,1012LM,Nieuwe Kerk e.o.
2926,1012LN,Nieuwe Kerk e.o.
2929,1012LP,Nieuwe Kerk e.o.
2943,1012LT,Nieuwe Kerk e.o.
2955,1012LW,Nieuwe Kerk e.o.
2957,1012LX,Nieuwe Kerk e.o.
2990,1012MD,Nieuwe Kerk e.o.
2994,1012ME,Nieuwe Kerk e.o.
3005,1012MG,Nieuwe Kerk e.o.
3014,1012MH,Nieuwe Kerk e.o.
3031,1012MS,Nieuwe Kerk e.o.
3048,1012MT,Nieuwe Kerk e.o.
3057,1012MV,Nieuwe Kerk e.o.
3064,1012MX,Nieuwe Kerk e.o.
3075,1012NE,Nieuwe Kerk e.o.
3106,1012NG,Nieuwe Kerk e.o.
3151,1012NH,Nieuwe Kerk e.o.
3165,1012NJ,Nieuwe Kerk e.o.
3198,1012NK,Nieuwe Kerk e.o.
3234,1012NL,Nieuwe Kerk e.o.
3245,1012NM,Nieuwe Kerk e.o.
3264,1012NN,Nieuwe Kerk e.o.
3276,1012NP,Nieuwe Kerk e.o.
3282,1012PT,Nieuwe Kerk e.o.
3284,1012PV,Nieuwe Kerk e.o.
3300,1012PW,Nieuwe Kerk e.o.
3308,1012PX,Nieuwe Kerk e.o.
3316,1012PZ,Nieuwe Kerk e.o.
3322,1012RD,Nieuwe Kerk e.o.
3332,1012RE,Nieuwe Kerk e.o.
3345,1012RG,Nieuwe Kerk e.o.
3350,1012RH,Nieuwe Kerk e.o.
3353,1012RJ,Nieuwe Kerk e.o.
3362,1012XW,Nieuwe Kerk e.o.
3371,1012XZ,Nieuwe Kerk e.o.
3374,1012ZK,Nieuwe Kerk e.o.
3382,1012RB,Spuistraat Zuid
3384,1012RN,Spuistraat Zuid
3421,1012RP,Spuistraat Zuid
3436,1012RR,Spuistraat Zuid
3449,1012RS,Spuistraat Zuid
3461,1012RT,Spuistraat Zuid
3474,1012RV,Spuistraat Zuid
3484,1012RW,Spuistraat Zuid
3492,1012RX,Spuistraat Zuid
3499,1012VM,Spuistraat Zuid
3548,1012VN,Spuistraat Zuid
3566,1012VP,Spuistraat Zuid
3574,1012VR,Spuistraat Zuid
3590,1012VS,Spuistraat Zuid
3597,1012VT,Spuistraat Zuid
3607,1012VV,Spuistraat Zuid
3616,1012VW,Spuistraat Zuid
3625,1012VX,Spuistraat Zuid
3645,1012VZ,Spuistraat Zuid
3652,1012WB,Spuistraat Zuid
3656,1012WC,Spuistraat Zuid
3662,1012WE,Spuistraat Zuid
3667,1012WG,Spuistraat Zuid
3681,1012WH,Spuistraat Zuid
3688,1012WJ,Spuistraat Zuid
3695,1012WK,Spuistraat Zuid
3703,1012WL,Spuistraat Zuid
3714,1012WN,Spuistraat Zuid
3722,1012XA,Spuistraat Zuid
3730,1012ZL,Spuistraat Zuid
3750,1016DB,Spuistraat Zuid
3751,1012KV,Begijnhofbuurt
3752,1012NV,Begijnhofbuurt
3754,1012KB,Begijnhofbuurt
3758,1012KR,Begijnhofbuurt
3764,1012KS,Begijnhofbuurt
3774,1012KT,Begijnhofbuurt
3790,1012KW,Begijnhofbuurt
3808,1012KX,Begijnhofbuurt
3812,1012KZ,Begijnhofbuurt
3818,1012LA,Begijnhofbuurt
3821,1012NP,Begijnhofbuurt
3823,1012NR,Begijnhofbuurt
3827,1012NS,Begijnhofbuurt
3831,1012NT,Begijnhofbuurt
3842,1012NW,Begijnhofbuurt
3845,1012NX,Begijnhofbuurt
3864,1012NZ,Begijnhofbuurt
3878,1012PA,Begijnhofbuurt
3891,1012PB,Begijnhofbuurt
3906,1012PC,Begijnhofbuurt
3913,1012PD,Begijnhofbuurt
3924,1012PE,Begijnhofbuurt
3929,1012PG,Begijnhofbuurt
3934,1012PH,Begijnhofbuurt
3942,1012PJ,Begijnhofbuurt
3947,1012PK,Begijnhofbuurt
3953,1012PL,Begijnhofbuurt
3967,1012PM,Begijnhofbuurt
3980,1012PN,Begijnhofbuurt
3988,1012PP,Begijnhofbuurt
3993,1012PR,Begijnhofbuurt
3999,1012RB,Begijnhofbuurt
4012,1012RK,Begijnhofbuurt
4025,1012RL,Begijnhofbuurt
4036,1012RM,Begijnhofbuurt
4058,1012WS,Begijnhofbuurt
4076,1012WT,Begijnhofbuurt
4086,1012WV,Begijnhofbuurt
4101,1012WZ,Begijnhofbuurt
4106,1012XA,Begijnhofbuurt
4107,1012XD,Begijnhofbuurt
4116,1012LB,Kalverdriehoek
4120,1012LC,Kalverdriehoek
4125,1012LD,Kalverdriehoek
4129,1012LE,Kalverdriehoek
4141,1012WN,Kalverdriehoek
4142,1012WP,Kalverdriehoek
4172,1012WR,Kalverdriehoek
4179,1012WX,Kalverdriehoek
4190,1012XB,Kalverdriehoek
4206,1012XC,Kalverdriehoek
4214,1012XE,Kalverdriehoek
4224,1012XG,Kalverdriehoek
4232,1012XH,Kalverdriehoek
4241,1012XJ,Kalverdriehoek
4249,1012XK,Kalverdriehoek
4262,1012XL,Kalverdriehoek
4275,1012XM,Kalverdriehoek
4293,1012XN,Kalverdriehoek
4303,1012XP,Kalverdriehoek
4310,1012XR,Kalverdriehoek
4322,1012XS,Kalverdriehoek
4329,1012XV,Kalverdriehoek
4330,1015AA,Langestraat e.o.
4341,1015AB,Langestraat e.o.
4353,1015AC,Langestraat e.o.
4363,1015AD,Langestraat e.o.
4376,1015AK,Langestraat e.o.
4403,1015AL,Langestraat e.o.
4421,1015AM,Langestraat e.o.
4445,1015AN,Langestraat e.o.
4460,1015AP,Langestraat e.o.
4471,1015AR,Langestraat e.o.
4483,1015AT,Langestraat e.o.
4492,1015BA,Langestraat e.o.
4501,1015BB,Langestraat e.o.
4512,1015BC,Langestraat e.o.
4522,1015BD,Langestraat e.o.
4534,1015BE,Langestraat e.o.
4540,1015BK,Langestraat e.o.
4548,1015BL,Langestraat e.o.
4557,1015BM,Langestraat e.o.
4562,1015BN,Langestraat e.o.
4567,1015BP,Langestraat e.o.
4572,1015BR,Langestraat e.o.
4580,1015CA,Langestraat e.o.
4588,1015CB,Langestraat e.o.
4600,1015CC,Langestraat e.o.
4610,1015CD,Langestraat e.o.
4622,1015CE,Langestraat e.o.
4640,1015CG,Langestraat e.o.
4645,1015CN,Langestraat e.o.
4650,1015CP,Langestraat e.o.
4655,1015CR,Langestraat e.o.
4670,1015CS,Langestraat e.o.
4679,1015CT,Langestraat e.o.
4690,1015DC,Langestraat e.o.
4697,1015DD,Langestraat e.o.
4704,1015DK,Langestraat e.o.
4719,1015DL,Langestraat e.o.
4738,1015DM,Langestraat e.o.
4741,1015DN,Langestraat e.o.
4756,1015DP,Langestraat e.o.
4768,1015DR,Langestraat e.o.
4781,1015DS,Langestraat e.o.
4784,1015GA,Langestraat e.o.
4796,1015GB,Langestraat e.o.
4811,1015GC,Langestraat e.o.
4830,1015AE,Leliegracht e.o.
4840,1015AG,Leliegracht e.o.
4850,1015AH,Leliegracht e.o.
4857,1015AJ,Leliegracht e.o.
4862,1015AS,Leliegracht e.o.
4872,1015AV,Leliegracht e.o.
4887,1015AW,Leliegracht e.o.
4895,1015BE,Leliegracht e.o.
4901,1015BG,Leliegracht e.o.
4911,1015BH,Leliegracht e.o.
4918,1015BJ,Leliegracht e.o.
4923,1015BS,Leliegracht e.o.
4935,1015BT,Leliegracht e.o.
4946,1015BV,Leliegracht e.o.
4950,1015BW,Leliegracht e.o.
4955,1015BX,Leliegracht e.o.
4964,1015BZ,Leliegracht e.o.
4976,1015CH,Leliegracht e.o.
4982,1015CJ,Leliegracht e.o.
4994,1015CK,Leliegracht e.o.
5000,1015CL,Leliegracht e.o.
5006,1015CV,Leliegracht e.o.
5018,1015CW,Leliegracht e.o.
5029,1015CX,Leliegracht e.o.
5039,1015CZ,Leliegracht e.o.
5045,1015DA,Leliegracht e.o.
5052,1015DB,Leliegracht e.o.
5058,1015DE,Leliegracht e.o.
5067,1015DG,Leliegracht e.o.
5075,1015DH,Leliegracht e.o.
5084,1015DJ,Leliegracht e.o.
5088,1015DS,Leliegracht e.o.
5096,1015DT,Leliegracht e.o.
5120,1016AA,Leliegracht e.o.
5133,1016AB,Leliegracht e.o.
5139,1016AL,Leliegracht e.o.
5150,1016BD,Leliegracht e.o.
5158,1016BE,Leliegracht e.o.
5177,1016BN,Leliegracht e.o.
5183,1016BP,Leliegracht e.o.
5188,1016BR,Leliegracht e.o.
5193,1016BS,Leliegracht e.o.
5194,1016DE,Leliegracht e.o.
5202,1016DG,Leliegracht e.o.
5213,1016DK,Leliegracht e.o.
5221,1016DL,Leliegracht e.o.
5229,1016DP,Leliegracht e.o.
5237,1016DR,Leliegracht e.o.
5241,1016DW,Leliegracht e.o.
5253,1016GN,Leliegracht e.o.
5260,1016GP,Leliegracht e.o.
5262,1016GR,Leliegracht e.o.
5267,1016GS,Leliegracht e.o.
5270,1016GT,Leliegracht e.o.
5276,1016GV,Leliegracht e.o.
5286,1016GW,Leliegracht e.o.
5289,1016BL,Felix Meritisbuurt
5291,1016AB,Felix Meritisbuurt
5294,1016AC,Felix Meritisbuurt
5303,1016AD,Felix Meritisbuurt
5313,1016AE,Felix Meritisbuurt
5327,1016AG,Felix Meritisbuurt
5337,1016AH,Felix Meritisbuurt
5349,1016AJ,Felix Meritisbuurt
5354,1016AK,Felix Meritisbuurt
5361,1016AM,Felix Meritisbuurt
5368,1016AN,Felix Meritisbuurt
5377,1016AP,Felix Meritisbuurt
5383,1016AR,Felix Meritisbuurt
5394,1016AS,Felix Meritisbuurt
5397,1016AV,Felix Meritisbuurt
5404,1016AW,Felix Meritisbuurt
5409,1016AX,Felix Meritisbuurt
5413,1016AZ,Felix Meritisbuurt
5418,1016BA,Felix Meritisbuurt
5422,1016BB,Felix Meritisbuurt
5427,1016BG,Felix Meritisbuurt
5437,1016BH,Felix Meritisbuurt
5447,1016BJ,Felix Meritisbuurt
5457,1016BK,Felix Meritisbuurt
5468,1016BM,Felix Meritisbuurt
5480,1016BS,Felix Meritisbuurt
5488,1016BT,Felix Meritisbuurt
5502,1016BV,Felix Meritisbuurt
5512,1016BW,Felix Meritisbuurt
5516,1016BX,Felix Meritisbuurt
5526,1016BZ,Felix Meritisbuurt
5536,1016CA,Felix Meritisbuurt
5545,1016CB,Felix Meritisbuurt
5554,1016CC,Felix Meritisbuurt
5562,1016CD,Felix Meritisbuurt
5571,1016CE,Felix Meritisbuurt
5579,1016CG,Felix Meritisbuurt
5589,1016DB,Felix Meritisbuurt
5594,1016DC,Felix Meritisbuurt
5601,1016DD,Felix Meritisbuurt
5608,1016DH,Felix Meritisbuurt
5616,1016DJ,Felix Meritisbuurt
5627,1016DM,Felix Meritisbuurt
5641,1016DN,Felix Meritisbuurt
5653,1016DS,Felix Meritisbuurt
5659,1016DT,Felix Meritisbuurt
5664,1016DV,Felix Meritisbuurt
5671,1016DX,Felix Meritisbuurt
5678,1016DZ,Felix Meritisbuurt
5684,1016EA,Felix Meritisbuurt
5690,1016EB,Felix Meritisbuurt
5696,1016EC,Felix Meritisbuurt
5702,1016ED,Felix Meritisbuurt
5711,1016EE,Felix Meritisbuurt
5721,1016EG,Felix Meritisbuurt
5726,1016EH,Felix Meritisbuurt
5731,1016EJ,Felix Meritisbuurt
5735,1016EM,Felix Meritisbuurt
5744,1016EN,Felix Meritisbuurt
5753,1016EP,Felix Meritisbuurt
5767,1016ES,Felix Meritisbuurt
5777,1016ET,Felix Meritisbuurt
5783,1016EV,Felix Meritisbuurt
5800,1016EW,Felix Meritisbuurt
5813,1016EX,Felix Meritisbuurt
5818,1016EZ,Felix Meritisbuurt
5828,1016GA,Felix Meritisbuurt
5835,1016GB,Felix Meritisbuurt
5844,1016GG,Felix Meritisbuurt
5865,1016GH,Felix Meritisbuurt
5885,1016GK,Felix Meritisbuurt
5900,1016GW,Felix Meritisbuurt
5905,1016GX,Felix Meritisbuurt
5915,1016GZ,Felix Meritisbuurt
5920,1016HK,Felix Meritisbuurt
5936,1016HL,Felix Meritisbuurt
5948,1016HM,Felix Meritisbuurt
5962,1016HN,Felix Meritisbuurt
5973,1016HP,Felix Meritisbuurt
5987,1016HR,Felix Meritisbuurt
6002,1016CH,Leidsegracht Noord
6003,1016AK,Leidsegracht Noord
6010,1016AS,Leidsegracht Noord
6015,1016AT,Leidsegracht Noord
6028,1016BC,Leidsegracht Noord
6045,1016CJ,Leidsegracht Noord
6053,1016CK,Leidsegracht Noord
6061,1016CL,Leidsegracht Noord
6069,1016CM,Leidsegracht Noord
6074,1016CN,Leidsegracht Noord
6080,1016CP,Leidsegracht Noord
6086,1016EJ,Leidsegracht Noord
6098,1016EK,Leidsegracht Noord
6105,1016EL,Leidsegracht Noord
6112,1016ER,Leidsegracht Noord
6127,1016GC,Leidsegracht Noord
6136,1016GD,Leidsegracht Noord
6149,1016GE,Leidsegracht Noord
6154,1016GJ,Leidsegracht Noord
6171,1016GL,Leidsegracht Noord
6177,1016GM,Leidsegracht Noord
6189,1016HS,Leidsegracht Noord
6199,1016HT,Leidsegracht Noord
6209,1016HV,Leidsegracht Noord
6226,1017BZ,Spiegelbuurt
6233,1017CA,Spiegelbuurt
6243,1017DE,Spiegelbuurt
6254,1017DG,Spiegelbuurt
6269,1017DH,Spiegelbuurt
6279,1017DK,Spiegelbuurt
6285,1017DL,Spiegelbuurt
6291,1017DM,Spiegelbuurt
6298,1017DN,Spiegelbuurt
6302,1017DP,Spiegelbuurt
6314,1017EJ,Spiegelbuurt
6319,1017EK,Spiegelbuurt
6329,1017EL,Spiegelbuurt
6339,1017EM,Spiegelbuurt
6348,1017EN,Spiegelbuurt
6356,1017GB,Spiegelbuurt
6361,1017GC,Spiegelbuurt
6377,1017GD,Spiegelbuurt
6391,1017GE,Spiegelbuurt
6405,1017GG,Spiegelbuurt
6411,1017GM,Spiegelbuurt
6419,1017GN,Spiegelbuurt
6433,1017GP,Spiegelbuurt
6454,1017GR,Spiegelbuurt
6458,1017JW,Spiegelbuurt
6466,1017JX,Spiegelbuurt
6479,1017JZ,Spiegelbuurt
6495,1017KA,Spiegelbuurt
6504,1017NS,Spiegelbuurt
6510,1017NT,Spiegelbuurt
6518,1017NV,Spiegelbuurt
6531,1017NX,Spiegelbuurt
6541,1017BB,Gouden Bocht
6544,1017BM,Gouden Bocht
6570,1017BR,Gouden Bocht
6575,1017BS,Gouden Bocht
6586,1017BT,Gouden Bocht
6596,1017BV,Gouden Bocht
6603,1017CA,Gouden Bocht
6608,1017CB,Gouden Bocht
6612,1017DB,Gouden Bocht
6621,1017DR,Gouden Bocht
6634,1017HK,Gouden Bocht
6640,1017HL,Gouden Bocht
6642,1017GV,Van Loonbuurt
6643,1017BN,Van Loonbuurt
6662,1017BV,Van Loonbuurt
6666,1017BW,Van Loonbuurt
6675,1017CB,Van Loonbuurt
6681,1017CC,Van Loonbuurt
6692,1017CS,Van Loonbuurt
6707,1017DB,Van Loonbuurt
6711,1017DC,Van Loonbuurt
6718,1017DD,Van Loonbuurt
6729,1017DS,Van Loonbuurt
6738,1017DT,Van Loonbuurt
6750,1017EP,Van Loonbuurt
6760,1017ER,Van Loonbuurt
6769,1017ES,Van Loonbuurt
6777,1017ET,Van Loonbuurt
6790,1017EV,Van Loonbuurt
6800,1017EW,Van Loonbuurt
6805,1017GG,Van Loonbuurt
6809,1017GH,Van Loonbuurt
6821,1017GJ,Van Loonbuurt
6833,1017GK,Van Loonbuurt
6840,1017GR,Van Loonbuurt
6846,1017GS,Van Loonbuurt
6852,1017GT,Van Loonbuurt
6877,1017GW,Van Loonbuurt
6895,1017GX,Van Loonbuurt
6902,1017GZ,Van Loonbuurt
6913,1017HA,Van Loonbuurt
6930,1017HB,Van Loonbuurt
6942,1017HC,Van Loonbuurt
6954,1017HE,Van Loonbuurt
6963,1017HG,Van Loonbuurt
6975,1017HH,Van Loonbuurt
6985,1017HJ,Van Loonbuurt
6997,1017HL,Van Loonbuurt
7002,1017KA,Van Loonbuurt
7009,1017KB,Van Loonbuurt
7026,1017KC,Van Loonbuurt
7047,1017KD,Van Loonbuurt
7062,1017KL,Van Loonbuurt
7073,1017KM,Van Loonbuurt
7085,1017KN,Van Loonbuurt
7097,1017KP,Van Loonbuurt
7108,1017LR,Van Loonbuurt
7120,1017LS,Van Loonbuurt
7131,1017LT,Van Loonbuurt
7141,1017LV,Van Loonbuurt
7152,1017AJ,Amstelveldbuurt
7158,1017AK,Amstelveldbuurt
7168,1017AL,Amstelveldbuurt
7175,1017AM,Amstelveldbuurt
7183,1017AN,Amstelveldbuurt
7187,1017CG,Amstelveldbuurt
7193,1017CH,Amstelveldbuurt
7200,1017CJ,Amstelveldbuurt
7212,1017DV,Amstelveldbuurt
7221,1017DW,Amstelveldbuurt
7234,1017DX,Amstelveldbuurt
7242,1017DZ,Amstelveldbuurt
7252,1017EA,Amstelveldbuurt
7262,1017EB,Amstelveldbuurt
7270,1017EC,Amstelveldbuurt
7278,1017ED,Amstelveldbuurt
7285,1017EE,Amstelveldbuurt
7292,1017EW,Amstelveldbuurt
7302,1017EX,Amstelveldbuurt
7312,1017EZ,Amstelveldbuurt
7317,1017HV,Amstelveldbuurt
7331,1017HW,Amstelveldbuurt
7345,1017HX,Amstelveldbuurt
7366,1017HZ,Amstelveldbuurt
7380,1017JA,Amstelveldbuurt
7395,1017JB,Amstelveldbuurt
7405,1017JC,Amstelveldbuurt
7420,1017JD,Amstelveldbuurt
7442,1017JE,Amstelveldbuurt
7448,1017JG,Amstelveldbuurt
7457,1017JH,Amstelveldbuurt
7468,1017JJ,Amstelveldbuurt
7477,1017JK,Amstelveldbuurt
7484,1017KP,Amstelveldbuurt
7485,1017LJ,Amstelveldbuurt
7496,1017LK,Amstelveldbuurt
7507,1017LL,Amstelveldbuurt
7517,1017VH,Amstelveldbuurt
7533,1017VJ,Amstelveldbuurt
7548,1017VK,Amstelveldbuurt
7560,1017VL,Amstelveldbuurt
