PC6,number_of_charger,total_capacity,electricity_household,electricity_company,December 2017_EV,December 2018_EV,December 2019_EV,December 2020_EV,December 2021_EV,December 2022_EV,December 2017_hybrid,December 2018_hybrid,December 2019_hybrid,December 2020_hybrid,December 2021_hybrid,December 2022_hybrid
1015SR,,,1660.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015ST,,,1610.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015SV,,,1770.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015SW,,,1890.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015SX,,,1900.0,2700.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015SZ,,,1770.0,1680.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015TA,,,1780.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015TB,,,1980.0,3460.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015TC,,,2240.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015TD,,,1540.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015TE,,,1890.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015TH,,,1390.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015TJ,,,2960.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015TK,,,3540.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015TL,,,2130.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015TM,,,2380.0,2490.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015TN,,,2150.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015TP,,,1870.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015TS,,,3320.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015TV,,,1430.0,4630.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015TW,,,1700.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015TX,,,1690.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015TZ,,,1320.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015VA,,,1730.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015VB,,,1910.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015VC,,,2110.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015VD,,,2440.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015VE,,,1950.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015VG,,,1950.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015VH,,,1880.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015VJ,,,1890.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015VK,,,2230.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015VL,,,2020.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015VM,,,1700.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015VN,,,1870.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015VP,,,1960.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015VR,,,2070.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015VS,,,1890.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015VT,,,1730.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015VV,,,1700.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015VW,,,930.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015VX,,,1290.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015VZ,,,1260.0,9720.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015WB,,,1320.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015WC,,,1480.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015WD,,,1400.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015WE,,,990.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015WG,,,1190.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015WH,,,1420.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015WJ,,,1240.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015WL,,,1910.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015WN,,,1730.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015WP,,,1380.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015WR,,,1670.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015WS,,,1360.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015WT,,,1590.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015WV,,,1530.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015WX,,,1620.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015XA,,,1340.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015XB,,,1150.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015XC,,,1090.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015XD,,,910.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015XE,,,1300.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015XH,,,900.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015XJ,,,1470.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015XN,,,2520.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015XS,,,2070.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015XT,,,2100.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015XV,,,2830.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015XW,,,1590.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015XX,,,1580.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015ZB,,,1050.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015ZD,,,1360.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015ZE,,,1690.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015ZG,,,2030.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015ZJ,,,1650.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015ZK,,,2180.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015ZL,,,1660.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015ZN,,,1200.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015ZP,,,1960.0,760.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1016AA,,,2300.0,7460.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016AC,,,1900.0,8100.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016AD,,,2240.0,6170.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016AE,,,2080.0,6400.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016AG,,,3320.0,4490.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016AH,,,3240.0,3950.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016AJ,,,0.0,2520.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016AL,,,2010.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016AM,,,1830.0,7020.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016AN,,,2010.0,4080.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016AP,,,0.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016AR,,,1820.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016AS,,,1810.0,7370.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016AT,,,1550.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016AV,,,0.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016AX,,,3360.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016AZ,,,0.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016BA,,,0.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016BB,,,0.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016BC,,,2550.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016BD,,,1760.0,7550.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016BE,,,2910.0,12770.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016BG,,,3260.0,8180.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016BH,,,2980.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016BJ,,,2290.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016BL,,,1620.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016BM,,,1880.0,4160.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016BN,,,2330.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016BP,,,1590.0,26370.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016BR,,,0.0,62050.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016BT,,,2790.0,7150.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016BV,,,2230.0,57930.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016BW,,,2100.0,7280.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016BX,,,2510.0,17120.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016BZ,,,2270.0,14800.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016CA,,,1900.0,12490.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016CB,,,1910.0,12430.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016CC,,,1950.0,9320.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016CE,,,2650.0,8940.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016CG,,,3490.0,17740.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016CH,,,2950.0,16970.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016CK,,,1990.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016CL,,,2960.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016CM,,,2810.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016CN,,,3670.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016CP,,,3310.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016CR,,,2060.0,27220.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016CS,,,2710.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016CT,,,2130.0,9150.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016CW,,,2530.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016CX,,,1910.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016CZ,,,2310.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016DA,,,2350.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016DB,,,1360.0,12290.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016DC,,,0.0,13440.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016DD,,,0.0,25100.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016DE,,,2320.0,17140.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016DG,,,1700.0,17720.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016DH,,,2000.0,6180.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016DJ,,,1770.0,13530.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016DL,,,0.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016DM,,,1910.0,11740.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016DN,,,1550.0,15240.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016DP,,,2100.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016DR,,,2660.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016DS,,,0.0,13270.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016DV,,,2520.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016DW,,,3030.0,10150.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016DZ,,,2750.0,15340.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016EA,,,2780.0,10840.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016EC,,,3840.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016ED,,,0.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016EE,,,3380.0,42920.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016EG,,,3480.0,10090.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016EJ,,,3150.0,9190.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016EK,,,4020.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016EL,,,2820.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016EM,,,1760.0,6990.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016EN,,,2810.0,13480.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016EP,,,2190.0,15560.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016ER,,,1730.0,12990.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016ES,,,2260.0,11260.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016ET,,,1600.0,13210.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016EW,,,2300.0,18180.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016EX,,,2360.0,5380.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016EZ,,,2100.0,11550.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016GA,,,2770.0,18320.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016GB,,,3000.0,51290.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016GC,,,2230.0,9700.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016GG,,,1660.0,15550.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016GH,,,1870.0,13980.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016GJ,,,2180.0,11930.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016GK,,,2180.0,9300.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016GM,,,2380.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016GN,,,2300.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016GP,,,3570.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016GR,,,2770.0,3370.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016GS,,,1840.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016GT,,,2660.0,3760.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016GV,,,3250.0,14550.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016GW,,,2160.0,36410.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016GZ,,,0.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016HA,,,2440.0,11000.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016HB,,,2650.0,17000.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016HC,,,2570.0,6310.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016HD,,,1800.0,4620.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016HE,,,1720.0,3940.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016HG,,,1560.0,8330.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016HH,,,2290.0,17440.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016HJ,,,1600.0,10820.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016HK,,,1980.0,7130.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016HL,,,2170.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016HN,,,2630.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016HP,,,2150.0,7210.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016HR,,,2590.0,8410.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016HS,,,2160.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016HT,,,2590.0,126040.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016HW,,,2100.0,5220.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016HZ,,,1880.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016JA,,,1800.0,4260.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016JB,,,1730.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016JC,,,2350.0,18580.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016KA,,,2200.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016KB,,,3020.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016KC,,,1550.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016KE,,,2270.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016KH,,,2700.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016KJ,,,2000.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016KK,,,1560.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016KL,,,3280.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016KM,,,1420.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016KN,,,2810.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016KR,,,2290.0,2710.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016KS,,,1950.0,5290.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016KT,,,1700.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
