,charger_ID,city,address,provider,latitude,longitude,operator,type,power,zipcode
667,D445E5B1-9A3B-45A1-8252-B6187DAED86A,Amsterdam,Van Walbeeckstraat 62,TotalEnergie,52.36161,4.85125,TotalEnergie,AC,22,1058 CV
668,D48E80B7-F0F0-4A70-8A00-6EA5243F2ACD,Amsterdam,President Kennedylaan 681,TotalEnergie,52.340181,4.899568,TotalEnergie,AC,22,1072 NP
669,D51B21B6-3ACC-4D9E-AE25-4973D619B578,Amsterdam,Andreas Schelfhoutstraat 65,TotalEnergie,52.357265,4.849677,TotalEnergie,AC,22,1058 HT
670,D5413476-17BB-4C3B-B8C4-DF9D66277583,Amsterdam,Tuinderijlaan 47,TotalEnergie,52.405981,4.902933,TotalEnergie,AC,22,1036 LM
671,D5742510-059F-4D45-B7B2-1C3E4F3F6E79,Amsterdam,De Kempenaerstraat 2,TotalEnergie,52.382173,4.869027,TotalEnergie,AC,22,1051 CN
672,D584ED58-1EF4-4F77-BF77-5E42F633EDC6,Amsterdam,Eerste Boerhaavestraat 14,TotalEnergie,52.358172,4.907322,TotalEnergie,AC,22,1091 SB
673,D699A200-73E8-4E73-AD76-5199115AA176,Amsterdam,Elektronstraat 12,TotalEnergie,52.392791,4.853503,TotalEnergie,AC,22,1014 AP
674,D721CD34-B672-47AB-A1B1-F6C95F8A1840,Amsterdam,Marius Meijboomstraat 1,TotalEnergie,52.351902,5.008819,TotalEnergie,AC,22,1087 LD
675,d7ee80e8-9a36-48dd-a311-fb60d1007ec1,Amsterdam,Wittenburgergracht 6,TotalEnergie,52.369982,4.918021,TotalEnergie,AC,22,1018 MT
676,d805c1b4-b90b-4925-9c6e-5613e8213d99,Amsterdam,Daniël Defoelaan 204,TotalEnergie,52.324495,4.948705,TotalEnergie,AC,22,1102 ZM
677,D82984E3-B3B7-470A-B056-90EA1C85FBC9,Amsterdam,Lomanstraat 85,TotalEnergie,52.350797,4.858273,TotalEnergie,AC,22,1075 PX
678,D84A54FB-02CA-4B3F-96CC-5EDDAB2E170B,Amsterdam,s-Gravendijkdreef 317,TotalEnergie,52.319832,4.983706,TotalEnergie,AC,22,1104 DN
679,D8BDAB9D-E41F-4803-9BEC-646346721C1E,Amsterdam,Kometensingel 52,TotalEnergie,52.415648,4.893985,TotalEnergie,AC,22,1033 BW
680,D8BF0230-5DC4-4F78-8980-D080B17EF8C7,Amsterdam,Fregatstraat 3,TotalEnergie,52.404511,4.916215,TotalEnergie,AC,22,1034 JK
681,D9538516-143F-4E90-81C3-E3F0FEFD124A,Amsterdam,Weesperzijde 19,TotalEnergie,52.357729,4.906568,TotalEnergie,AC,22,1091 EB
682,D9BC58C2-32CE-46D0-8D11-78C20AF3AD8E,Amsterdam,Erich Salomonstraat 332,TotalEnergie,52.356529,4.99773,TotalEnergie,AC,22,1087GZ
683,da182a51-5a24-4101-a495-7533579b2b53,Weesp,Fort Abcoudestraat 8,TotalEnergie,52.31697,5.04132,TotalEnergie,AC,22,1382
684,DA9E9CAA-BA79-48F0-9C9E-10F9E97DD989,Amsterdam,Willemsstraat 30,TotalEnergie,52.381285,4.884618,TotalEnergie,AC,22,1015 JD
685,db843b83-8429-46cf-96f2-f1b057b53104,Amsterdam,Emmastraat 33,TotalEnergie,52.352907,4.870378,TotalEnergie,AC,22,1071 JB
686,dd1af8e9-0fb4-49c9-8b53-009773e3d0f6,Amsterdam,Ruysdaelkade 123,TotalEnergie,52.354272,4.887126,TotalEnergie,AC,22,1072 AP
687,DDE29747-1EBA-4F33-944F-F177FAF43113,Amsterdam,Burmanstraat 8,TotalEnergie,52.354569,4.90982,TotalEnergie,AC,22,1091 SG
688,DE125B75-6232-4AF6-B15D-A1D114B62059,Amsterdam,Roseboom 2,TotalEnergie,52.419263,4.897666,TotalEnergie,AC,22,1035 XT
689,DEB30085-81DE-4B6C-B8AB-3649629F34C4,Amsterdam,Sonja Heniepad 1,TotalEnergie,52.404371,4.918162,TotalEnergie,AC,22,1034 WC
690,deca5b99-dd0a-4d7e-b814-d758da9b1ad3,Weesp,Basisweg 1,TotalEnergie,52.298223,5.027919,TotalEnergie,AC,22,1383 NC
691,df0b08b2-cf62-447e-b868-1cbba54e3022,Amsterdam,Tolstraat 91,TotalEnergie,52.352246,4.903335,TotalEnergie,AC,22,1074 VG
692,df472c54-659f-4eed-8f96-68aa643d61b3,Amsterdam,Meteorenweg 250,TotalEnergie,52.41581,4.879389,TotalEnergie,AC,22,1033 HL
693,e09f8202-7fa6-475f-9426-abdc03797f2d,Amsterdam,Niasstraat 44,TotalEnergie,52.364884,4.944561,TotalEnergie,AC,22,1095 VD
694,E0EEF883-D410-49CD-B373-A93C89630159,Amsterdam,Janusz Korczakstraat 30,TotalEnergie,52.319647,4.958079,TotalEnergie,AC,22,1102 JN
